Species	Status
Metaschizotherium_bavaricum	extinct
Metaschizotherium_fraasi	extinct
Metaschizotherium_wetzleri	extinct
Metatelmatherium_brownii	extinct
Metatelmatherium_lahirii	extinct
Metatelmatherium_ultimum	extinct
Minippus_index	extinct
Minippus_jicarillai	extinct
Miohippus_annectens	extinct
Miohippus_assiniboiensis	extinct
Miohippus_equinanus	extinct
Miohippus_gemmarosae	extinct
Miohippus_gidleyi	extinct
Miohippus_intermedius	extinct
Miohippus_obliquidens	extinct
Molassitherium_delemontense	extinct
Moropus_elatus	extinct
Moropus_hollandi	extinct
Moropus_matthewi	extinct
Moropus_merriami	extinct
Moropus_oregonensis	extinct
Mulkrajanops_moghliensis	extinct
Nakusia_sharigensis	extinct
Nannippus_aztecus	extinct
Nannippus_beckensis	extinct
Nannippus_lenticularis	extinct
Nannippus_major	extinct
Nannippus_morgani	extinct
Nannippus_peninsulatus	extinct
Nannippus_westoni	extinct
Neohipparion_affine	extinct
Neohipparion_eurystyle	extinct
Neohipparion_gidleyi	extinct
Neohipparion_leptode	extinct
Neohipparion_trampasense	extinct
Nestoritherium_fuguense	extinct
Ningxiatherium_euryrhinus	extinct
Ningxiatherium_longirhinus	extinct
Onohippidium_galushai	extinct
Orohippus_agilis	extinct
Orohippus_major	extinct
Orohippus_progressus	extinct
Orohippus_proteros	extinct
Orohippus_pumulis	extinct
Orohippus_sylvaticus	extinct
Ougandatherium_napakense	extinct
Pachynolophus_boixedatensis	extinct
Pachynolophus_eulaliensis	extinct
Pachynolophus_garimondi	extinct
Pachynolophus_livinierensis	extinct
Palaeosyops_fontinalis	extinct
Palaeosyops_laticeps	extinct
Palaeosyops_paludosus	extinct
Palaeosyops_robustus	extinct
Palaeotherium_castrense	extinct
Palaeotherium_crassum	extinct
Palaeotherium_curtum	extinct
Palaeotherium_duvali	extinct
Palaeotherium_magnum	extinct
Palaeotherium_medium	extinct
Palaeotherium_muehlbergi	extinct
Palaeotherium_pomeli	extinct
Palaeotherium_ruetimeyeri	extinct
Palaeotherium_siderolithicum	extinct
Paraceratherium_bugtiense	extinct
Paraceratherium_linxiaense	extinct
Paradiceros_mukirii	extinct
Parahippus_agrestis	extinct
Parahippus_cognatus	extinct
Parahippus_leonensis	extinct
Parahippus_pawniensis	extinct
Parahippus_pristinus	extinct
Parahippus_wyomingensis	extinct
Paralophiodon_buxovillanum	extinct
Paralophiodon_isselense	extinct
Paralophiodon_leptorhynchum	extinct
Paramynodon_birmanicus	extinct
Paramynodon_cotteri	extinct
Paranchilophus_lusitanicus	extinct
Paranchitherium_karpinskii	extinct
Parapliohippus_carrizoensis	extinct
Parelasmotherium_linxiaense	extinct
Parelasmotherium_simplum	extinct
Parvicornus_occidentalis	extinct
Penetrigonias_dakotensis	extinct
Penetrigonias_hudsoni	extinct
Penetrigonias_sagittatus	extinct
Peraceras_hessei	extinct
Peraceras_profectum	extinct
Peraceras_superciliosum	extinct
Phyllotillon_huangheensis	extinct
Phyllotillon_nariscus	extinct
Pilgrimella_wardi	extinct
Plagiolophus_annectens	extinct
Plagiolophus_casasecaensis	extinct
Plagiolophus_fraasi	extinct
Plagiolophus_huerzeleri	extinct
Plagiolophus_javali	extinct
Plagiolophus_majus	extinct
Plagiolophus_mazateronensis	extinct
Plagiolophus_ministri	extinct
Plagiolophus_minor	extinct
Plagiolophus_ovinus	extinct
Plesiaceratherium_aquitanicum	extinct
Plesiaceratherium_balkanicum	extinct
Plesiaceratherium_fahlbuschi	extinct
Plesiaceratherium_gracile	extinct
Plesiaceratherium_lumiarense	extinct
Plesiaceratherium_mirallesi	extinct
Plesiaceratherium_naricum	extinct
Plesiaceratherium_platyodon	extinct
Plesiaceratherium_shanwangensis	extinct
Plesiohipparion_crassum	extinct
Plesiohipparion_huangheese	extinct
Plesiohipparion_longipes	extinct
Plesiohipparion_moritorum	extinct
Plesiohipparion_rocinantis	extinct
Pleuroceros_blanfordi	extinct
Pleuroceros_pleuroceros	extinct
Pliodiceros_neumayri	extinct
Pliohippus_bakeri	extinct
Pliohippus_coalingensis	extinct
Pliohippus_fossulatus	extinct
Pliohippus_mirabilis	extinct
Pliohippus_nobilis	extinct
Pliohippus_pernix	extinct
Pliohippus_supremus	extinct
Pliohippus_tantalus	extinct
Pliohippus_tehonense	extinct
Proboscidipparion_pater	extinct
Proboscidipparion_sinense	extinct
Procoelodonta_borissiaki	extinct
Procoelodonta_mongoliense	extinct
Procoelodonta_tekkayai	extinct
Propachynolophus_gaudryi	extinct
Propachynolophus_levei	extinct
Propachynolophus_maldani	extinct
Propachynolophus_remyi	extinct
Propalaeotherium_argentonicum	extinct
Propalaeotherium_hassiacum	extinct
Propalaeotherium_isselanum	extinct
Propalaeotherium_parvulum	extinct
Propalaeotherium_voigti	extinct
Prosantorhinus_douvillei	extinct
Prosantorhinus_germanicus	extinct
Protaceratherium_aginense	extinct
Protaceratherium_albigense	extinct
Protaceratherium_minutum	extinct
Protitanops_curryi	extinct
Protitanotherium_emarginatum	extinct
Protohippus_eohipparion	extinct
Protohippus_gidleyi	extinct
Protohippus_perditus	extinct
Protohippus_propavulus	extinct
Protohippus_supremus	extinct
Protohippus_vetus	extinct
Protorohippus_montanum	extinct
Protorohippus_venticolum	extinct
Pseudohipparion_curtivallum	extinct
Pseudohipparion_gratum	extinct
Pseudohipparion_hessei	extinct
Pseudohipparion_retrusum	extinct
Pseudohipparion_simpsoni	extinct
Pseudohipparion_skinneri	extinct
Pseudopalaeotherium_longirostratum	extinct
Rhinoceros_chaii	extinct
Rhinoceros_plicideus	extinct
Rhinoceros_sinensis	extinct
Rhinoceros_sivalensis	extinct
Rhinoceros_sondaicus	extant
Rhinoceros_unicornis	extant
Ronzotherium_filholi	extinct
Ronzotherium_romani	extinct
Ronzotherium_velaunum	extinct
Samburuceros_ishidai	extinct
Sastrilophus_dehmi	extinct
Scaphohippus_intermontanus	extinct
Scaphohippus_sumani	extinct
Schizotherium_avitum	extinct
Schizotherium_chucuae	extinct
Schizotherium_modicum	extinct
Schizotherium_ordosium	extinct
Schizotherium_pilgrimi	extinct
Schizotherium_priscum	extinct
Schizotherium_turgaicum	extinct
Shansirhinus_ringstromi	extinct
Sifrhippus_sandrae	extinct
Sinohippus_robustus	extinct
Sinohippus_sampelayoi	extinct
Sinohippus_zitteli	extinct
Sinotherium_lagrelii	extinct
Sinotherium_zaisanense	extinct
Sivalhippus_perimense	extinct
Sivalhippus_theobaldi	extinct
Sivatitanops_birmanicus	extinct
Sivatitanops_cotteri	extinct
Sivatitanops_rugosidens	extinct
Skinnoceras_manning	extinct
Sphenocoelus_uintensis	extinct
Stephanorhinus_beliajevi	extinct
Stephanorhinus_elatus	extinct
Stephanorhinus_etruscus	extinct
Stephanorhinus_etruscus/hundsheimensis	extinct
Stephanorhinus_hemitoechus	extinct
Stephanorhinus_hundsheimensis	extinct
Stephanorhinus_jeanvireti	extinct
Stephanorhinus_kirchbergensis	extinct
Stephanorhinus_kurmetiensis	extinct
Stephanorhinus_lantianensis	extinct
Stephanorhinus_leptorhinus	extinct
Stephanorhinus_megarhinus	extinct
Stephanorhinus_miguelcrusafonti	extinct
Stephanorhinus_orientalis	extinct
Stephanorhinus_ringstroemi	extinct
Stephanorhinus_sansaniensis	extinct
Stephanorhinus_yunchuchenensis	extinct
Sthenodectes_incisivum	extinct
Subchilotherium_intermedium	extinct
Subhyracodon_kewi	extinct
Subhyracodon_mitis	extinct
Subhyracodon_occidentalis	extinct
Teleoceras_americanum	extinct
Teleoceras_brachyrhinum	extinct
Teleoceras_fossiger	extinct
Teleoceras_guymonense	extinct
Teleoceras_hicksi	extinct
Teleoceras_major	extinct
Teleoceras_medicornutum	extinct
Teleoceras_meridianum	extinct
Teleoceras_proterum	extinct
Teletaceras_mortivallis	extinct
Teletaceras_radinskyi	extinct
Telmatherium_validus	extinct
Tesselodon_fangxianensis	extinct
Trigonias_osborni	extinct
Trigonias_wellsi	extinct
Triplopides_rieli	extinct
Triplopus_cubitalis	extinct
Triplopus_implicatus	extinct
Triplopus_kalakotensis	extinct
Triplopus_obliquidens	extinct
Triplopus_rhinocerinus	extinct
Triplopus_woodi	extinct
Turpanotherium_yagouense	extinct
Tylocephalonyx_skinneri	extinct
Uintaceras_radinskyi	extinct
Victoriaceros_hooijeri	extinct
Xenicohippus_grangeri	extinct
Xenicohippus_osborni	extinct
Zaisanamynodon_borisovi	extinct
