Species	Status
Dichodon_subtilis	extinct
Dicoryphochoerus_vinayaki	extinct
Dicrocerus_bessarabiensis	extinct
Dicrocerus_elegans	extinct
Dicrocerus_grangeri	extinct
Dicrocerus_salomeae	extinct
Diplobune_minor	extinct
Diplobune_quercyi	extinct
Diplobune_secundaria	extinct
Discritochoerus_lapointensis	extinct
Doliochoerus_quercyi	extinct
Dorcabune_anthracotherioides	extinct
Dorcabune_liuchengense	extinct
Dorcabune_progressus	extinct
Dorcabune_sindiense	extinct
Dorcabune_welcommi	extinct
Dorcadoryx_lagrelii	extinct
Dorcadoryx_orientalis	extinct
Dorcadoryx_triquetricornis	extinct
Dorcadoxa_prorrecticornis	extinct
Dorcatherium_chappuisi	extinct
Dorcatherium_crassum	extinct
Dorcatherium_guntianum	extinct
Dorcatherium_jourdani	extinct
Dorcatherium_libiensis	extinct
Dorcatherium_majus	extinct
Dorcatherium_minimus	extinct
Dorcatherium_minus	extinct
Dorcatherium_moruorotensis	extinct
Dorcatherium_nagrii	extinct
Dorcatherium_naui	extinct
Dorcatherium_orientale	extinct
Dorcatherium_parvum	extinct
Dorcatherium_peneckei	extinct
Dorcatherium_penekei	extinct
Dorcatherium_pigotti	extinct
Dorcatherium_progressus	extinct
Dorcatherium_puyhauberti	extinct
Dorcatherium_rogeri	extinct
Dorcatherium_songhorensis	extinct
Dorcatherium_vindobonense	extinct
Dremotherium_feignouxi	extinct
Dremotherium_guthi	extinct
Drepanomeryx_falciformis	extinct
Dromomeryx_borealis	extinct
Duboisia_santeng	extinct
Dyseohyus_fricki	extinct
Dystychoceras_foveatus	extinct
Dystychoceras_macedoniensis	extinct
Dytikodorcas_longicornis	extinct
Elachistoceras_khauristanensis	extinct
Elaphodus_cephalophus	extant
Elaphurus_bifurcatus	extinct
Elaphurus_davidianus	extant
Elaphurus_eleonorae	extinct
Elomeryx_armatus	extinct
Elomeryx_borbonicus	extinct
Elomeryx_cluai	extinct
Elomeryx_crispus	extinct
Elomeryx_minor	extinct
Elomeryx_woodi	extinct
Entelodon_antiquus	extinct
Entelodon_deguilhemi	extinct
Entelodon_gobiensis	extinct
Entelodon_magnus	extinct
Eocoileus_gentryorum	extinct
Eostyloceros_blainvillei	extinct
Eostyloceros_maci	extinct
Eostyloceros_propria	extinct
Eostyloceros_triangularis	extinct
Eosyncerus_ivericus	extinct
Eotragus_artenensis	extinct
Eotragus_bavaricus	extinct
Eotragus_clavatus	extinct
Eotragus_cristatus	extinct
Eotragus_halamagaiensis	extinct
Eotragus_haplodon	extinct
Eotragus_minus	extinct
Eotragus_noyei	extinct
Eotragus_sansaniensis	extinct
Eotylopus_reedi	extinct
Ephelcomenus_filholi	extinct
Eporeodon_latidens	extinct
Eporeodon_major	extinct
Eporeodon_minor	extinct
Eporeodon_occidentalis	extinct
Eporeodon_pygmyus	extinct
Etruria_viallii	extinct
Euceratherium_collinum	extinct
Eucladoceros_boulei	extinct
Eucladoceros_ctenoides	extinct
Eucladoceros_dichotomus	extinct
Eucladoceros_dicranios	extinct
Eucladoceros_dicranios/ctenoides	extinct
Eucladoceros_falconeri	extinct
Eucladoceros_giullii	extinct
Eucladoceros_proboulei	extinct
Eucladoceros_senezensis	extinct
Eucladoceros_tegulensis	extinct
Eucladoceros_tetraceros	extinct
Eucrotaphus_galushai	extinct
Eucrotaphus_jacksoni	extinct
Eudorcas_praethomsoni	extinct
Eumeryx_culminis	extinct
Euprox_alticus	extinct
Euprox_dicranocerus	extinct
Euprox_elsanus	extinct
Euprox_furcatus	extinct
Euprox_grangeri	extinct
Euprox_margaritae	extinct
Euprox_minimus	extinct
Euprox_robustus	extinct
Eurodexis_ceciliensis	extinct
Euryceros_flabellatus	extinct
Euthyceros_thessalicus	extinct
Floridachoerus_olseni	extinct
Floridatragulus_dolichanthereus	extinct
Floridatragulus_hesperus	extinct
Floridatragulus_nanus	extinct
Floridatragulus_texanus	extinct
Friburgomeryx_wallenriedensis	extinct
Gallogoral_meneghinii	extinct
Gazella_aegea	extinct
Gazella_altidens	extinct
Gazella_ancyrensis	extinct
Gazella_atlantica	extinct
Gazella_baltavarensis	extinct
Gazella_baturra	extinct
Gazella_blacki	extinct
Gazella_borbonica	extinct
Gazella_bouvrainae	extinct
Gazella_brevicornis	extinct
Gazella_capricornis	extinct
Gazella_deperdita	extinct
Gazella_dorcadoides	extinct
Gazella_eleanorae	extinct
Gazella_emilii	extinct
Gazella_gaudryi	extinct
Gazella_gazella	extant
Gazella_gracile	extinct
Gazella_granti	extinct
Gazella_gutturosa	extinct
Gazella_harmonae	extinct
Gazella_incerta	extinct
Gazella_janenschi	extinct
Gazella_kohllarseni	extinct
Gazella_kueitensis	extinct
Gazella_leilae	extinct
Gazella_lydekkeri	extinct
Gazella_mongolica	extinct
Gazella_mytilinii	extinct
Gazella_negevensis	extinct
Gazella_nihensis	extinct
Gazella_padriensis	extinct
Gazella_paotehensis	extinct
Gazella_parasinensis	extinct
Gazella_picticaudata	extinct
Gazella_pilgrimi	extinct
Gazella_pomeli	extinct
Gazella_postmitilinii	extinct
Gazella_praegaudryi	extinct
Gazella_praethomsoni	extinct
Gazella_prjewalskyi	extinct
Gazella_propria	extinct
Gazella_psolea	extinct
