Species	Status
Haplocyonoides_serbiae	extinct
Helarctos_malayanus	extant
Helogale_hirtula	extant
Helogale_kitafe	extinct
Helogale_palaeogracilis	extinct
Hemicyon_barbouri	extinct
Hemicyon_gargan	extinct
Hemicyon_goeriachensis	extinct
Hemicyon_hurzeleri	extinct
Hemicyon_mayorali	extinct
Hemicyon_sansaniensis	extinct
Hemicyon_stehlini	extinct
Herpestes_abdelalii	extinct
Herpestes_alaylaii	extinct
Herpestes_aurelianensis	extinct
Herpestes_delibis	extinct
Herpestes_dissimilis	extinct
Herpestes_ichneumon	extant
Herpestes_mesotus	extinct
Herpestes_palaeoserengetensis	extinct
Herpestes_primitivus	extinct
Herpestes_sanguineus	extinct
Herpestides_aegypticus	extinct
Herpestides_afarensis	extinct
Herpestides_antiquus	extinct
Herpestides_collectus	extinct
Hesperocyon_coloradensis	extinct
Hesperocyon_gregarius	extinct
Hesperoviverra_carpathorum	extinct
Homotherium_africanum	extinct
Homotherium_crusifonti	extinct
Homotherium_davitasvilii	extinct
Homotherium_fires	extinct
Homotherium_hengduanshanensis	extinct
Homotherium_idahoensis	extinct
Homotherium_ischyrus	extinct
Homotherium_johnstoni	extinct
Homotherium_latidens	extinct
Homotherium_problematicum	extinct
Homotherium_ultimus	extinct
Hoplictis_florancei	extinct
Hoplictis_grangerensis	extinct
Hoplictis_noueli	extinct
Hoplophoneus_mentalis	extinct
Hoplophoneus_occidentalis	extinct
Hoplophoneus_primaevus	extinct
Howellictis_valentini	extinct
Hyaena_abronia	extinct
Hyaena_hyaena	extant
Hyaena_makapani	extinct
Hyaenictis_almerai	extinct
Hyaenictis_graeca	extinct
Hyaenictis_hendeyi	extinct
Hyaenictis_wehaietu	extinct
Hyaenictitherium_hipparionum	extinct
Hyaenictitherium_hyaenoides	extinct
Hyaenictitherium_minimum	extinct
Hyaenictitherium_namaquensis	extinct
Hyaenictitherium_parvum	extinct
Hyaenictitherium_wongii	extinct
Hyperailurictis_aeluroides	extinct
Hyperailurictis_intrepidus	extinct
Hyperailurictis_marshi	extinct
Hyperailurictis_skinneri	extinct
Hyperailurictis_stouti	extinct
Hyperailurictis_validus	extinct
Hypsoparia_bozemanensis	extinct
